id,create_date,rent_price,deposit,floor,area_total,rooms,region,agent_fee,date_only,repair_type_original,renovation_cosmetic,renovation_design,renovation_euro,renovation_no,renovation_unknown,price_for_m2,is_luxury_by_region,month_deposit,deposit_group,is_high_floor,renovation_score,is_small,is_large,is_studio,is_family,is_expensive_region,area_expensive,rooms_scaled,floor_scaled,rooms_x_floor
45,2021-12-06 06:54:34.890000+03:00,200000,200000.0,8,75.0,3,1,0.0,2021-12-06,design,0,1,0,0,0,2666.67,1,1.0,2,0,0.6,0,0,0,1,1,75.0,0.5,0.12962962962962962,0.06481481481481481
46,2021-12-06 06:24:24.055000+03:00,53400,0.0,6,69.8,2,1,50.0,2021-12-06,euro,0,0,1,0,0,765.04,0,0.0,0,0,0.4,0,0,0,0,1,69.8,0.3333333333333333,0.09259259259259259,0.030864197530864196
47,2021-12-06 06:23:04.637000+03:00,51900,0.0,2,35.0,1,1,50.0,2021-12-06,euro,0,0,1,0,0,1482.86,1,0.0,0,0,0.4,1,0,1,0,1,35.0,0.16666666666666666,0.018518518518518517,0.0030864197530864196
49,2021-12-06 06:06:46.507000+03:00,85000,85000.0,3,63.5,2,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,1338.58,1,1.0,2,0,0.0,0,0,0,0,1,63.5,0.3333333333333333,0.037037037037037035,0.012345679012345678
50,2021-12-06 06:06:45.004000+03:00,84400,0.0,22,77.7,3,1,50.0,2021-12-06,euro,0,0,1,0,0,1086.23,0,0.0,0,0,0.4,0,0,0,1,1,77.7,0.5,0.38888888888888884,0.19444444444444442
53,2021-12-06 05:43:10.424000+03:00,40900,0.0,5,43.3,1,1,50.0,2021-12-06,euro,0,0,1,0,0,944.57,0,0.0,0,0,0.4,1,0,1,0,1,43.3,0.16666666666666666,0.07407407407407407,0.012345679012345678
54,2021-12-06 05:40:09.295000+03:00,75000,75000.0,14,33.0,1,1,50.0,2021-12-06,unknown,0,0,0,0,1,2272.73,1,1.0,2,0,0.0,1,0,1,0,1,33.0,0.16666666666666666,0.24074074074074073,0.040123456790123455
55,2021-12-06 05:35:42.568000+03:00,40000,40000.0,10,52.0,2,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,769.23,0,1.0,1,0,0.0,0,0,0,0,1,52.0,0.3333333333333333,0.16666666666666666,0.05555555555555555
56,2021-12-06 04:55:46.540000+03:00,70000,70000.0,12,65.0,3,1,100.0,2021-12-06,cosmetic,1,0,0,0,0,1076.92,0,1.0,2,0,0.0,0,0,0,1,1,65.0,0.5,0.2037037037037037,0.10185185185185185
57,2021-12-06 04:51:13.005000+03:00,55000,55000.0,4,58.0,2,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,948.28,0,1.0,2,0,0.0,0,0,0,0,1,58.0,0.3333333333333333,0.05555555555555555,0.018518518518518517
59,2021-12-06 04:43:23.350000+03:00,45000,45000.0,4,65.0,3,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,692.31,0,1.0,1,0,0.0,0,0,0,1,1,65.0,0.5,0.05555555555555555,0.027777777777777776
62,2021-12-06 04:36:22.816000+03:00,40000,40000.0,17,42.0,1,1,50.0,2021-12-06,euro,0,0,1,0,0,952.38,0,1.0,1,0,0.4,1,0,1,0,1,42.0,0.16666666666666666,0.2962962962962963,0.04938271604938271
65,2021-12-06 04:22:39.411000+03:00,50000,50.0,3,45.0,2,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,1111.11,1,0.001,0,0,0.0,1,0,0,0,1,45.0,0.3333333333333333,0.037037037037037035,0.012345679012345678
68,2021-12-06 04:09:43.330000+03:00,70000,70000.0,10,73.0,2,1,50.0,2021-12-06,design,0,1,0,0,0,958.9,0,1.0,2,0,0.6,0,0,0,0,1,73.0,0.3333333333333333,0.16666666666666666,0.05555555555555555
69,2021-12-06 04:06:10.321000+03:00,67100,0.0,17,79.5,3,1,50.0,2021-12-06,euro,0,0,1,0,0,844.03,0,0.0,0,0,0.4,0,0,0,1,1,79.5,0.5,0.2962962962962963,0.14814814814814814
70,2021-12-06 04:05:49.655000+03:00,67100,0.0,3,77.9,3,1,50.0,2021-12-06,euro,0,0,1,0,0,861.36,0,0.0,0,0,0.4,0,0,0,1,1,77.9,0.5,0.037037037037037035,0.018518518518518517
71,2021-12-06 04:05:38.269000+03:00,67100,0.0,16,72.0,3,1,50.0,2021-12-06,euro,0,0,1,0,0,931.94,0,0.0,0,0,0.4,0,0,0,1,1,72.0,0.5,0.2777777777777778,0.1388888888888889
72,2021-12-06 04:03:12.172000+03:00,46000,10000.0,3,40.0,1,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,1150.0,1,0.21739130434782608,0,0,0.0,1,0,1,0,1,40.0,0.16666666666666666,0.037037037037037035,0.006172839506172839
73,2021-12-06 03:59:45.255000+03:00,65000,65000.0,16,58.5,2,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,1111.11,1,1.0,2,0,0.0,0,0,0,0,1,58.5,0.3333333333333333,0.2777777777777778,0.09259259259259259
74,2021-12-06 03:54:58.115000+03:00,60000,60000.0,2,51.0,3,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,1176.47,1,1.0,2,0,0.0,0,0,0,1,1,51.0,0.5,0.018518518518518517,0.009259259259259259
75,2021-12-06 03:48:53.439000+03:00,60000,0.0,3,68.9,2,1,50.0,2021-12-06,euro,0,0,1,0,0,870.83,0,0.0,0,0,0.4,0,0,0,0,1,68.9,0.3333333333333333,0.037037037037037035,0.012345679012345678
82,2021-12-06 02:54:46.013000+03:00,43000,25000.0,9,57.0,2,1,50.0,2021-12-06,euro,0,0,1,0,0,754.39,0,0.5813953488372093,0,0,0.4,0,0,0,0,1,57.0,0.3333333333333333,0.14814814814814814,0.04938271604938271
83,2021-12-06 02:50:41.547000+03:00,28000,28000.0,2,31.0,1,1,60.0,2021-12-06,cosmetic,1,0,0,0,0,903.23,0,1.0,0,0,0.0,1,0,1,0,1,31.0,0.16666666666666666,0.018518518518518517,0.0030864197530864196
84,2021-12-06 02:22:35.612000+03:00,35000,5000.0,14,20.0,1,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,1750.0,1,0.14285714285714285,0,0,0.0,1,0,1,0,1,20.0,0.16666666666666666,0.24074074074074073,0.040123456790123455
